212.8.152.0,212.8.159.255,business,DE,AS8422 
212.8.160.0,212.8.160.255,isp,BE,AS5400 
212.8.161.0,212.8.161.47,business,BE,AS5400 
212.8.161.48,212.8.161.95,isp,BE,AS5400 
212.8.161.96,212.8.161.127,business,BE,AS5400 
212.8.161.128,212.8.161.159,isp,GB,AS5400 
212.8.161.160,212.8.161.175,business,BE,AS5400 
212.8.161.176,212.8.161.191,isp,BE,AS5400 
212.8.161.192,212.8.161.223,business,BE,AS5400 
212.8.161.224,212.8.161.239,isp,BE,AS5400 
212.8.161.240,212.8.162.127,business,BE,AS5400 
212.8.162.128,212.8.162.255,isp,GB,AS5400 
212.8.163.0,212.8.163.127,business,BE,AS5400 
212.8.163.128,212.8.163.143,isp,GB,AS5400 
212.8.163.144,212.8.163.255,business,BE,AS5400 
212.8.164.0,212.8.164.191,isp,GB,AS5400 
212.8.164.192,212.8.164.223,business,BE,AS5400 
212.8.164.224,212.8.164.255,isp,BE,AS5400 
212.8.165.0,212.8.165.39,business,BE,AS5400 
212.8.165.40,212.8.165.47,isp,BE,AS5400 
212.8.165.48,212.8.165.63,business,BE,AS5400 
212.8.165.64,212.8.165.255,isp,GB,AS5400 
212.8.166.0,212.8.166.63,business,BE,AS5400 
212.8.166.64,212.8.166.71,isp,BE,AS5400 
212.8.166.72,212.8.166.79,business,BE,AS5400 
212.8.166.80,212.8.166.95,isp,BE,AS5400 
212.8.166.96,212.8.166.239,business,BE,AS5400 
212.8.166.240,212.8.166.255,isp,NL,AS5400 
212.8.167.0,212.8.171.255,isp,GB,AS5400 
212.8.172.0,212.8.172.255,isp,BE,AS5400 
212.8.173.0,212.8.173.239,business,BE,AS5400 
212.8.173.240,212.8.173.247,isp,BE,AS5400 
212.8.173.248,212.8.173.251,business,BE,AS5400 
212.8.173.252,212.8.173.255,isp,GB,AS5400 
212.8.174.0,212.8.174.63,business,BE,AS5400 
212.8.174.64,212.8.174.127,isp,GB,AS5400 
212.8.174.128,212.8.174.191,isp,BE,AS5400 
212.8.174.192,212.8.174.255,isp,GB,AS5400 
212.8.175.0,212.8.175.255,isp,BE,AS5400 
212.8.176.0,212.8.176.39,business,BE,AS5400 
212.8.176.40,212.8.176.47,isp,GB,AS5400 
212.8.176.48,212.8.176.63,business,BE,AS5400 
212.8.176.64,212.8.176.79,isp,GB,AS5400 
212.8.176.80,212.8.176.87,isp,BE,AS5400 
212.8.176.88,212.8.176.127,business,BE,AS5400 
212.8.176.128,212.8.176.131,isp,GB,AS5400 
212.8.176.132,212.8.176.143,business,BE,AS5400 
212.8.176.144,212.8.176.151,isp,BE,AS5400 
212.8.176.152,212.8.176.255,business,BE,AS5400 
212.8.177.0,212.8.177.255,isp,GB,AS5400 
212.8.178.0,212.8.179.255,isp,BE,AS5400 
212.8.180.0,212.8.180.31,isp,GB,AS5400 
212.8.180.32,212.8.180.191,business,BE,AS5400 
212.8.180.192,212.8.180.199,isp,BE,AS5400 
212.8.180.200,212.8.180.207,business,BE,AS5400 
212.8.180.208,212.8.180.223,isp,BE,AS5400 
212.8.180.224,212.8.185.31,isp,GB,AS5400 
212.8.185.32,212.8.185.95,business,BE,AS5400 
212.8.185.96,212.8.185.103,isp,BE,AS5400 
212.8.185.104,212.8.185.111,business,BE,AS5400 
