123.231.228.140,123.231.228.147,business,ID 
123.231.228.148,123.231.228.155,isp,ID 
123.231.228.156,123.231.228.159,education,ID 
123.231.228.160,123.231.228.163,isp,ID 
123.231.228.164,123.231.228.167,business,ID 
123.231.228.168,123.231.228.171,isp,ID 
123.231.228.172,123.231.228.179,business,ID 
123.231.228.180,123.231.228.183,isp,ID 
123.231.228.184,123.231.228.187,business,ID 
123.231.228.188,123.231.228.191,isp,ID 
123.231.228.192,123.231.228.207,business,ID 
123.231.228.208,123.231.228.215,isp,ID 
123.231.228.216,123.231.228.231,business,ID 
123.231.228.232,123.231.228.235,isp,ID 
123.231.228.236,123.231.228.239,business,ID 
123.231.228.240,123.231.228.255,isp,ID 
123.231.229.0,123.231.229.15,business,ID 
123.231.229.16,123.231.229.63,isp,ID 
123.231.229.64,123.231.229.71,business,ID 
123.231.229.72,123.231.229.79,isp,ID 
123.231.229.80,123.231.229.99,business,ID 
123.231.229.100,123.231.229.103,isp,ID 
123.231.229.104,123.231.229.119,business,ID 
123.231.229.120,123.231.229.127,isp,ID 
123.231.229.128,123.231.229.143,business,ID 
123.231.229.144,123.231.229.155,isp,ID 
123.231.229.156,123.231.229.159,business,ID 
123.231.229.160,123.231.229.191,isp,ID 
123.231.229.192,123.231.229.195,business,ID 
123.231.229.196,123.231.229.207,isp,ID 
123.231.229.208,123.231.229.215,business,ID 
123.231.229.216,123.231.230.3,isp,ID 
123.231.230.4,123.231.230.7,business,ID 
123.231.230.8,123.231.230.15,isp,ID 
123.231.230.16,123.231.230.55,business,ID 
123.231.230.56,123.231.230.63,isp,ID 
123.231.230.64,123.231.230.79,business,ID 
123.231.230.80,123.231.230.95,isp,ID 
123.231.230.96,123.231.230.111,business,ID 
123.231.230.112,123.231.230.127,isp,ID 
123.231.230.128,123.231.230.135,business,ID 
123.231.230.136,123.231.230.159,isp,ID 
123.231.230.160,123.231.230.167,business,ID 
123.231.230.168,123.231.230.175,isp,ID 
123.231.230.176,123.231.230.207,business,ID 
123.231.230.208,123.231.230.215,isp,ID 
123.231.230.216,123.231.230.223,business,ID 
123.231.230.224,123.231.231.191,isp,ID 
123.231.231.192,123.231.231.193,business,ID 
123.231.231.194,123.231.232.159,isp,ID 
123.231.232.160,123.231.232.207,business,ID 
123.231.232.208,123.231.232.223,isp,ID 
123.231.232.224,123.231.232.255,business,ID 
123.231.233.0,123.231.236.31,isp,ID 
123.231.236.32,123.231.236.63,business,ID 
123.231.236.64,123.231.236.127,isp,ID 
123.231.236.128,123.231.236.191,business,ID 
123.231.236.192,123.231.236.255,isp,ID 
123.231.237.0,123.231.237.79,business,ID 
123.231.237.80,123.231.237.85,isp,ID 
123.231.237.86,123.231.237.93,business,ID 
123.231.237.94,123.231.237.143,isp,ID 
123.231.237.144,123.231.237.159,business,ID 
123.231.237.160,123.231.237.207,isp,ID 
123.231.237.208,123.231.237.215,business,ID 
123.231.237.216,123.231.237.231,isp,ID 
123.231.237.232,123.231.237.239,business,ID 
123.231.237.240,123.231.237.247,isp,ID 
123.231.237.248,123.231.237.255,business,ID 
123.231.238.0,123.231.238.135,isp,ID 
123.231.238.136,123.231.238.159,business,ID 
123.231.238.160,123.231.238.191,isp,ID 
123.231.238.192,123.231.238.199,business,ID 
123.231.238.200,123.231.238.215,isp,ID 
123.231.238.216,123.231.238.231,business,ID 
123.231.238.232,123.231.239.159,isp,ID 
123.231.239.160,123.231.239.167,business,ID 
123.231.239.168,123.231.239.175,isp,ID 
123.231.239.176,123.231.239.195,business,ID 
123.231.239.196,123.231.239.199,isp,ID 
123.231.239.200,123.231.239.203,business,ID 
123.231.239.204,123.231.239.255,isp,ID 
123.231.240.0,123.231.240.23,business,ID 
123.231.240.24,123.231.240.31,isp,ID 
123.231.240.32,123.231.240.39,business,ID 
123.231.240.40,123.231.240.55,isp,ID 
123.231.240.56,123.231.240.63,business,ID 
123.231.240.64,123.231.240.79,isp,ID 
123.231.240.80,123.231.240.87,business,ID 
123.231.240.88,123.231.240.111,isp,ID 
123.231.240.112,123.231.240.127,business,ID 
123.231.240.128,123.231.240.143,isp,ID 
